city,state,population,land_area_mi2
New York[c],NY,"8,478,072",300.5
Los Angeles,CA,"3,878,704",469.5
Chicago,IL,"2,721,308",227.7
Houston,TX,"2,390,125",640.4
Phoenix,AZ,"1,673,164",518
Philadelphia[d],PA,"1,573,916",134.4
San Antonio,TX,"1,526,656",498.8
San Diego,CA,"1,404,452",325.9
Dallas,TX,"1,326,087",339.6
Jacksonville[e],FL,"1,009,833",747.3
Fort Worth,TX,"1,008,106",347.3
San Jose,CA,"997,368",178.3
Austin,TX,"993,588",319.9
Charlotte,NC,"943,476",308.3
Columbus,OH,"933,263",220
Indianapolis[f],IN,"891,484",361.6
San Francisco[g],CA,"827,526",46.9
Seattle,WA,"780,995",83.8
Denver[h],CO,"729,019",153.1
Oklahoma City,OK,"712,919",606.2
Nashville[i],TN,"704,963",475.8
Washington[j],DC,"702,250",61.1
El Paso,TX,"681,723",258.4
Las Vegas,NV,"678,922",141.8
Boston,MA,"673,458",48.3
Detroit,MI,"645,705",138.7
Louisville[k],KY,"640,796",324.9
Portland,OR,"635,749",133.5
Memphis,TN,"610,919",297
Baltimore[l],MD,"568,271",80.9
Milwaukee,WI,"563,531",96.2
Albuquerque,NM,"560,326",187.3
Tucson,AZ,"554,013",241
Fresno,CA,"550,105",115.2
Sacramento,CA,"535,798",98.6
Atlanta,GA,"520,070",135.3
Mesa,AZ,"517,151",138.7
Kansas City,MO,"516,032",314.7
Raleigh,NC,"499,825",147.1
Colorado Springs,CO,"493,554",195.4
Omaha,NE,"489,265",141.6
Miami,FL,"487,014",36
Virginia Beach[l],VA,"454,808",244.7
Long Beach,CA,"450,901",50.7
Oakland,CA,"443,554",55.9
Minneapolis,MN,"428,579",54
Bakersfield,CA,"417,468",149.8
Tulsa,OK,"415,154",197.5
Tampa,FL,"414,547",114
Arlington,TX,"403,672",95.9
Aurora,CO,"403,130",160.1
Wichita,KS,"400,991",162
Cleveland,OH,"365,379",77.7
New Orleans[m],LA,"362,701",169.5
Henderson,NV,"350,039",106.2
Honolulu[n],HI,"344,967",60.5
Anaheim,CA,"344,561",50.3
Orlando,FL,"334,854",110.6
Lexington[o],KY,"329,437",283.6
Stockton,CA,"324,975",62.2
Riverside,CA,"323,757",81.2
Irvine,CA,"318,683",65.6
Corpus Christi,TX,"317,317",162.2
Newark,NJ,"317,303",24.1
Santa Ana,CA,"316,184",27.3
Cincinnati,OH,"314,915",77.8
Pittsburgh,PA,"307,668",55.4
Saint Paul,MN,"307,465",52
Greensboro,NC,"307,381",129.6
